;;;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
1664 Selbu;1664;Selbu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1665 Tydal;1665;Tydal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1702 Steinkjer;1702;Steinkjer;35;100;71;14;14;23;100;83;12;100;50;35;100;71;14;14;23;100;83;12;100;50;35;100;71;14;14;23;100;83;12;100;50
1703 Namsos;1703;Namsos;36;100;58;19;22;22;100;73;14;100;36;36;100;58;19;22;22;100;73;14;100;36;36;100;58;19;22;22;100;73;14;100;36
1711 Meråker;1711;Meråker;14;100;43;:;:;8;100;75;6;100;:;14;100;43;:;:;8;100;75;6;100;:;14;100;43;:;:;8;100;75;6;100;:
1714 Stjørdal;1714;Stjørdal;20;100;75;:;:;11;100;73;9;100;78;20;100;75;:;:;11;100;73;9;100;78;20;100;75;:;:;11;100;73;9;100;78
1717 Frosta;1717;Frosta;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1718 Leksvik;1718;Leksvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1719 Levanger;1719;Levanger;35;100;71;:;:;21;100;95;14;100;36;35;100;71;:;:;21;100;95;14;100;36;35;100;71;:;:;21;100;95;14;100;36
1721 Verdal;1721;Verdal;12;100;67;:;:;3;100;:;9;100;56;12;100;67;:;:;3;100;:;9;100;56;12;100;67;:;:;3;100;:;9;100;56
1724 Verran;1724;Verran;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1725 Namdalseid;1725;Namdalseid;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1736 Snåase Snåsa;1736;Snåsa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1738 Lierne;1738;Lierne;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1739 Røyrvik;1739;Røyrvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1740 Namsskogan;1740;Namsskogan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1742 Grong;1742;Grong;12;100;50;:;:;4;100;100;8;100;:;12;100;50;:;:;4;100;100;8;100;:;12;100;50;:;:;4;100;100;8;100;:
1743 Høylandet;1743;Høylandet;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1744 Overhalla;1744;Overhalla;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1748 Fosnes;1748;Fosnes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1749 Flatanger;1749;Flatanger;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1750 Vikna;1750;Vikna;11;100;100;:;:;9;100;100;:;100;:;11;100;100;:;:;9;100;100;:;100;:;11;100;100;:;:;9;100;100;:;100;:
1751 Nærøy;1751;Nærøy;15;100;87;:;:;13;100;85;:;100;:;15;100;87;:;:;13;100;85;:;100;:;15;100;87;:;:;13;100;85;:;100;:
1755 Leka;1755;Leka;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1756 Inderøy;1756;Inderøy (f.o.m. 2012);12;100;67;:;:;6;100;100;6;100;:;12;100;67;:;:;6;100;100;6;100;:;12;100;67;:;:;6;100;100;6;100;:
1804 Bodø;1804;Bodø;69;100;62;19;19;39;100;64;30;100;60;69;100;62;19;19;39;100;64;30;100;60;69;100;62;19;19;39;100;64;30;100;60
1805 Narvik;1805;Narvik;21;100;43;:;:;7;100;71;14;100;29;21;100;43;:;:;7;100;71;14;100;29;21;100;43;:;:;7;100;71;14;100;29
1811 Bindal;1811;Bindal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1812 Sømna;1812;Sømna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1813 Brønnøy;1813;Brønnøy;12;100;67;:;:;7;100;86;5;100;:;12;100;67;:;:;7;100;86;5;100;:;12;100;67;:;:;7;100;86;5;100;:
1815 Vega;1815;Vega;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1816 Vevelstad;1816;Vevelstad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1818 Herøy;1818;Herøy (Nordl.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1820 Alstahaug;1820;Alstahaug;10;100;40;:;:;5;100;:;5;100;:;10;100;40;:;:;5;100;:;5;100;:;10;100;40;:;:;5;100;:;5;100;:
1822 Leirfjord;1822;Leirfjord;12;100;75;:;:;6;100;100;6;100;:;12;100;75;:;:;6;100;100;6;100;:;12;100;75;:;:;6;100;100;6;100;:
1824 Vefsn;1824;Vefsn;20;100;65;:;:;13;100;62;7;100;71;20;100;65;:;:;13;100;62;7;100;71;20;100;65;:;:;13;100;62;7;100;71
1825 Grane;1825;Grane;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1826 Hattfjelldal;1826;Hattfjelldal;8;100;75;:;:;4;100;100;4;100;:;8;100;75;:;:;4;100;100;4;100;:;8;100;75;:;:;4;100;100;4;100;:
1827 Dønna;1827;Dønna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1828 Nesna;1828;Nesna;8;100;88;:;:;5;100;80;:;100;:;8;100;88;:;:;5;100;80;:;100;:;8;100;88;:;:;5;100;80;:;100;:
1832 Hemnes;1832;Hemnes;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
1833 Rana;1833;Rana;17;100;82;:;:;11;100;82;6;100;83;17;100;82;:;:;11;100;82;6;100;83;17;100;82;:;:;11;100;82;6;100;83
1834 Lurøy;1834;Lurøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1835 Træna;1835;Træna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1836 Rødøy;1836;Rødøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1837 Meløy;1837;Meløy;7;100;71;:;:;5;100;:;:;100;:;7;100;71;:;:;5;100;:;:;100;:;7;100;71;:;:;5;100;:;:;100;:
1838 Gildeskål;1838;Gildeskål;5;100;100;:;:;5;100;100;:;:;:;5;100;100;:;:;5;100;100;:;:;:;5;100;100;:;:;5;100;100;:;:;:
1839 Beiarn;1839;Beiarn;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1840 Saltdal;1840;Saltdal;13;100;31;31;38;4;100;:;9;100;:;13;100;31;31;38;4;100;:;9;100;:;13;100;31;31;38;4;100;:;9;100;:
1841 Fauske;1841;Fauske;17;100;59;:;:;6;100;67;11;100;55;17;100;59;:;:;6;100;67;11;100;55;17;100;59;:;:;6;100;67;11;100;55
1845 Sørfold;1845;Sørfold;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1848 Steigen;1848;Steigen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1849 Hábmer Hamarøy;1849;Hamarøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1850 Divtasvuodna Tysfjord;1850;Tysfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1851 Lødingen;1851;Lødingen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1852 Tjeldsund;1852;Tjeldsund;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1853 Evenes;1853;Evenes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1854 Ballangen;1854;Ballangen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1856 Røst;1856;Røst;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1857 Værøy;1857;Værøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1859 Flakstad;1859;Flakstad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1860 Vestvågøy;1860;Vestvågøy;21;100;48;:;:;13;100;62;8;100;:;21;100;48;:;:;13;100;62;8;100;:;21;100;48;:;:;13;100;62;8;100;:
1865 Vågan;1865;Vågan;21;100;67;:;:;4;100;:;17;100;65;21;100;67;:;:;4;100;:;17;100;65;21;100;67;:;:;4;100;:;17;100;65
1866 Hadsel;1866;Hadsel;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:
1867 Bø;1867;Bø (Nordl.);12;100;42;:;:;10;100;50;:;100;:;12;100;42;:;:;10;100;50;:;100;:;12;100;42;:;:;10;100;50;:;100;:
1868 Øksnes;1868;Øksnes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1870 Sortland;1870;Sortland;16;100;56;:;:;9;100;67;7;100;:;16;100;56;:;:;9;100;67;7;100;:;16;100;56;:;:;9;100;67;7;100;:
1871 Andøy;1871;Andøy;26;100;77;:;:;15;100;80;11;100;:;26;100;77;:;:;15;100;80;11;100;:;26;100;77;:;:;15;100;80;11;100;:
1874 Moskenes;1874;Moskenes;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1902 Tromsø;1902;Tromsø;100;100;70;10;20;60;100;80;40;100;55;100;100;70;10;20;60;100;80;40;100;55;100;100;70;10;20;60;100;80;40;100;55
1901 Harstad;1901;Harstad;43;100;72;9;19;27;100;67;16;100;81;43;100;72;9;19;27;100;67;16;100;81;43;100;72;9;19;27;100;67;16;100;81
1911 Kvæfjord;1911;Kvæfjord;9;100;78;:;:;8;100;75;:;100;:;9;100;78;:;:;8;100;75;:;100;:;9;100;78;:;:;8;100;75;:;100;:
1913 Skånland;1913;Skånland;11;100;82;:;:;11;100;82;:;100;:;11;100;82;:;:;11;100;82;:;100;:;11;100;82;:;:;11;100;82;:;100;:
1917 Ibestad;1917;Ibestad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1919 Gratangen;1919;Gratangen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1920 Lavangen;1920;Lavangen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1922 Bardu;1922;Bardu;7;100;86;:;:;4;100;:;:;100;:;7;100;86;:;:;4;100;:;:;100;:;7;100;86;:;:;4;100;:;:;100;:
1923 Salangen;1923;Salangen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1924 Målselv;1924;Målselv;7;100;71;:;:;4;100;:;:;100;:;7;100;71;:;:;4;100;:;:;100;:;7;100;71;:;:;4;100;:;:;100;:
1925 Sørreisa;1925;Sørreisa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1926 Dyrøy;1926;Dyrøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1927 Tranøy;1927;Tranøy;5;100;:;:;20;5;100;80;:;:;:;5;100;:;:;20;5;100;80;:;:;:;5;100;:;:;20;5;100;80;:;:;:
1928 Torsken;1928;Torsken;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1929 Berg;1929;Berg;7;100;43;:;:;6;100;:;:;100;:;7;100;43;:;:;6;100;:;:;100;:;7;100;43;:;:;6;100;:;:;100;:
1931 Lenvik;1931;Lenvik;23;100;39;30;30;9;100;67;14;100;:;23;100;39;30;30;9;100;67;14;100;:;23;100;39;30;30;9;100;67;14;100;:
1933 Balsfjord;1933;Balsfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1936 Karlsøy;1936;Karlsøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1938 Lyngen;1938;Lyngen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1939 Storfjord;1939;Storfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1941 Skjervøy;1941;Skjervøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1942 Nordreisa;1942;Nordreisa;10;100;60;:;:;4;100;:;6;100;:;10;100;60;:;:;4;100;:;6;100;:;10;100;60;:;:;4;100;:;6;100;:
1943 Kvænangen;1943;Kvænangen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2002 Vardø;2002;Vardø;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2003 Vadsø;2003;Vadsø;30;100;60;:;:;10;100;60;20;100;60;30;100;60;:;:;10;100;60;20;100;60;30;100;60;:;:;10;100;60;20;100;60
2004 Hammerfest;2004;Hammerfest;19;100;68;:;:;9;100;100;10;100;40;19;100;68;:;:;9;100;100;10;100;40;19;100;68;:;:;9;100;100;10;100;40
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2012 Alta;2012;Alta;15;100;53;:;:;7;100;71;8;100;:;15;100;53;:;:;7;100;71;8;100;:;15;100;53;:;:;7;100;71;8;100;:
2014 Loppa;2014;Loppa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2015 Hasvik;2015;Hasvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2017 Kvalsund;2017;Kvalsund;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2018 Måsøy;2018;Måsøy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2019 Nordkapp;2019;Nordkapp;7;100;57;:;:;:;:;:;4;100;:;7;100;57;:;:;:;:;:;4;100;:;7;100;57;:;:;:;:;:;4;100;:
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2022 Lebesby;2022;Lebesby;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023 Gamvik;2023;Gamvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2024 Berlevåg;2024;Berlevåg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2025 Deatnu Tana;2025;Deatnu Tana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2027 Unjárga Nesseby;2027;Unjárga Nesseby;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2028 Båtsfjord;2028;Båtsfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2030 Sør-Varanger;2030;Sør-Varanger;6;100;67;:;:;:;:;:;:;100;:;6;100;67;:;:;:;:;:;:;100;:;6;100;67;:;:;:;:;:;:;100;:
;;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
